epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,517.97,0.45904,2.05237,0.93694,0.57113,0.50285,0.26416,0.2459,0.3718,1.73222,0.8761,0.000332444,0.000332444,0.067088
2,1042.65,0.36463,1.58856,0.90796,0.38183,0.67733,0.40654,0.39142,0.25018,1.28615,0.8613,0.000652595,0.000652595,0.0340748
3,1580.38,0.32908,1.38278,0.90226,0.59334,0.52112,0.47191,0.44799,0.29339,1.0462,0.85596,0.000959546,0.000959546,0.00104844
4,1980.29,0.30268,1.27538,0.89758,0.61014,0.64027,0.54095,0.53463,0.22357,0.92241,0.84299,0.0009406,0.0009406,0.0009406
5,2521.89,0.28168,1.18016,0.89128,0.39959,0.72455,0.54403,0.52601,0.18661,0.87003,0.84184,0.0009208,0.0009208,0.0009208
6,3005.72,0.26984,1.10494,0.88823,0.5419,0.70012,0.59056,0.58604,0.23718,0.7524,0.84006,0.000901,0.000901,0.000901
7,3585.69,0.2559,1.03098,0.88583,0.63294,0.71758,0.6366,0.62688,0.20864,0.57125,0.84361,0.0008812,0.0008812,0.0008812
8,4136.78,0.24475,0.98481,0.88614,0.54704,0.81585,0.64516,0.63255,0.26765,0.56377,0.84945,0.0008614,0.0008614,0.0008614
9,7828.57,0.23449,0.95984,0.88176,0.74905,0.67072,0.6535,0.64107,0.15096,0.55437,0.83918,0.0008416,0.0008416,0.0008416
10,8409.33,0.23003,0.93558,0.88082,0.73615,0.69948,0.66011,0.64573,0.18043,0.56613,0.84216,0.0008218,0.0008218,0.0008218
11,8904.34,0.23395,0.91209,0.88237,0.68063,0.6946,0.6747,0.66613,0.17668,0.51506,0.83676,0.000802,0.000802,0.000802
12,9506.65,0.21714,0.89011,0.88229,0.64032,0.72762,0.69252,0.67369,0.18349,0.50231,0.84334,0.0007822,0.0007822,0.0007822
13,10009.8,0.21425,0.87242,0.88067,0.70178,0.75572,0.7171,0.71459,0.19467,0.45256,0.83697,0.0007624,0.0007624,0.0007624
14,10456.5,0.21299,0.8566,0.88124,0.71225,0.72924,0.73253,0.72319,0.19696,0.46517,0.84207,0.0007426,0.0007426,0.0007426
15,10924.6,0.20534,0.83457,0.87783,0.68239,0.78307,0.75101,0.7344,0.15885,0.40685,0.8362,0.0007228,0.0007228,0.0007228
16,11424.5,0.19902,0.81133,0.87816,0.84574,0.61611,0.69623,0.69501,0.12653,0.36663,0.83111,0.000703,0.000703,0.000703
17,11851.3,0.19966,0.80616,0.87791,0.83176,0.69026,0.75585,0.74901,0.15921,0.37832,0.83481,0.0006832,0.0006832,0.0006832
18,12228.5,0.19167,0.77408,0.8777,0.59976,0.79406,0.72031,0.71765,0.1796,0.36083,0.83436,0.0006634,0.0006634,0.0006634
19,12611.7,0.1867,0.76912,0.87671,0.74722,0.76447,0.7733,0.76723,0.16221,0.32228,0.8346,0.0006436,0.0006436,0.0006436
20,13136.7,0.18213,0.74242,0.87635,0.79018,0.66101,0.75782,0.75137,0.10735,0.30405,0.83022,0.0006238,0.0006238,0.0006238
21,13686.2,0.18135,0.74547,0.87681,0.77891,0.72775,0.75568,0.75274,0.15796,0.31597,0.8377,0.000604,0.000604,0.000604
22,14181.1,0.18185,0.7236,0.87608,0.66815,0.83169,0.81079,0.80906,0.15306,0.32434,0.83371,0.0005842,0.0005842,0.0005842
23,14759.8,0.18097,0.71311,0.87519,0.90448,0.72936,0.80945,0.80365,0.1477,0.26585,0.83343,0.0005644,0.0005644,0.0005644
24,15342.1,0.17351,0.70793,0.87344,0.79976,0.81498,0.79827,0.7855,0.16829,0.2988,0.85129,0.0005446,0.0005446,0.0005446
25,15710.1,0.17071,0.68951,0.87418,0.65051,0.86874,0.7871,0.785,0.12146,0.26299,0.83005,0.0005248,0.0005248,0.0005248
26,16078,0.16847,0.68707,0.87575,0.9082,0.73466,0.808,0.80166,0.1378,0.25844,0.83303,0.000505,0.000505,0.000505
27,16515.6,0.1667,0.67785,0.87333,0.66749,0.91754,0.84807,0.84717,0.1242,0.2442,0.83138,0.0004852,0.0004852,0.0004852
28,17604.3,0.15886,0.66434,0.87349,0.70815,0.85911,0.86234,0.85836,0.12553,0.22226,0.83257,0.0004654,0.0004654,0.0004654
29,17977.9,0.16226,0.66093,0.8732,0.72476,0.85914,0.87505,0.86712,0.11236,0.20733,0.83138,0.0004456,0.0004456,0.0004456
30,18453.2,0.15831,0.66344,0.8731,0.74816,0.79134,0.83213,0.82807,0.12153,0.26065,0.83142,0.0004258,0.0004258,0.0004258
31,18838.7,0.152,0.64668,0.87212,0.76265,0.83114,0.84359,0.83298,0.11893,0.23837,0.83285,0.000406,0.000406,0.000406
