epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,243.084,1.25907,0.82594,0.98185,0.49197,0.000332442,0.000332442,0.0670882
2,498.317,0.5174,0.93548,0.99395,0.21208,0.000652593,0.000652593,0.0340751
3,730.687,0.40173,0.95363,0.99462,0.15669,0.000959544,0.000959544,0.00104867
4,929.02,0.31238,0.9496,0.99462,0.16362,0.0009406,0.0009406,0.0009406
5,1138.57,0.27523,0.96304,0.99462,0.12897,0.0009208,0.0009208,0.0009208
6,1334.61,0.21833,0.96573,0.99462,0.12282,0.000901,0.000901,0.000901
7,1533.35,0.2105,0.97177,0.9953,0.10198,0.0008812,0.0008812,0.0008812
8,1729.64,0.18381,0.96304,0.99462,0.1276,0.0008614,0.0008614,0.0008614
9,1934.04,0.16801,0.98051,0.99731,0.08478,0.0008416,0.0008416,0.0008416
10,2139.63,0.17532,0.97648,0.99664,0.09848,0.0008218,0.0008218,0.0008218
11,2476.75,0.14809,0.9832,0.99462,0.08724,0.000802,0.000802,0.000802
12,2795.58,0.13366,0.97446,0.9953,0.11144,0.0007822,0.0007822,0.0007822
