epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,23.362,2.11699,0.73514,0.93919,0.85054,0.000138574,0.000138574,0.000138574
2,43.8769,0.83792,0.89459,0.98716,0.31257,0.000272078,0.000272078,0.000272078
3,63.8885,0.52299,0.94527,0.99595,0.1676,0.000400077,0.000400077,0.000400077
4,84.2039,0.38246,0.96014,0.9973,0.12436,0.00039223,0.00039223,0.00039223
5,104.496,0.32489,0.97162,0.99662,0.09753,0.000383974,0.000383974,0.000383974
6,124.978,0.27423,0.97162,0.99797,0.09131,0.000375717,0.000375717,0.000375717
7,145.435,0.24175,0.97838,0.99797,0.07583,0.00036746,0.00036746,0.00036746
8,165.742,0.22195,0.98108,0.99797,0.07095,0.000359204,0.000359204,0.000359204
9,185.956,0.20126,0.98514,0.99865,0.06726,0.000350947,0.000350947,0.000350947
10,206.256,0.21847,0.97703,0.99797,0.07245,0.000342691,0.000342691,0.000342691
11,226.892,0.19305,0.97973,0.9973,0.07248,0.000334434,0.000334434,0.000334434
12,247.48,0.16428,0.98378,0.99595,0.07215,0.000326177,0.000326177,0.000326177
13,268.662,0.17888,0.98108,0.99865,0.0666,0.000317921,0.000317921,0.000317921
14,289.428,0.16316,0.98243,0.99865,0.06396,0.000309664,0.000309664,0.000309664
15,310.321,0.16659,0.98514,0.9973,0.0619,0.000301408,0.000301408,0.000301408
16,331.79,0.1532,0.98176,0.99797,0.06691,0.000293151,0.000293151,0.000293151
17,352.9,0.14639,0.98311,0.9973,0.0617,0.000284894,0.000284894,0.000284894
18,373.819,0.1487,0.98108,0.99797,0.06134,0.000276638,0.000276638,0.000276638
19,394.896,0.15354,0.98311,0.9973,0.0527,0.000268381,0.000268381,0.000268381
20,416.171,0.14295,0.98041,0.99797,0.05738,0.000260125,0.000260125,0.000260125
21,437.5,0.14583,0.98514,0.99797,0.05228,0.000251868,0.000251868,0.000251868
22,459.281,0.13638,0.98446,0.99797,0.05253,0.000243611,0.000243611,0.000243611
23,480.035,0.13235,0.98716,0.99865,0.05197,0.000235355,0.000235355,0.000235355
24,501.241,0.13703,0.98514,0.99797,0.05363,0.000227098,0.000227098,0.000227098
25,522.447,0.11698,0.98378,0.99797,0.05939,0.000218842,0.000218842,0.000218842
26,543.127,0.10688,0.98784,0.99865,0.0463,0.000210585,0.000210585,0.000210585
27,564.232,0.12189,0.98649,0.99797,0.05157,0.000202328,0.000202328,0.000202328
28,586.72,0.12483,0.98378,0.9973,0.05626,0.000194072,0.000194072,0.000194072
29,609.649,0.12884,0.98446,0.99662,0.05697,0.000185815,0.000185815,0.000185815
30,632.765,0.11331,0.98649,0.99865,0.08228,0.000177559,0.000177559,0.000177559
31,656.323,0.10713,0.98784,0.99797,0.05317,0.000169302,0.000169302,0.000169302
32,679.646,0.12188,0.98784,0.9973,0.04673,0.000161045,0.000161045,0.000161045
33,701.528,0.1104,0.98649,0.9973,0.05094,0.000152789,0.000152789,0.000152789
34,722.624,0.10507,0.98716,0.99662,0.04826,0.000144532,0.000144532,0.000144532
35,743.656,0.11338,0.98784,0.9973,0.04934,0.000136276,0.000136276,0.000136276
36,765.118,0.09201,0.98581,0.99797,0.04909,0.000128019,0.000128019,0.000128019
37,785.888,0.0885,0.98649,0.99865,0.0513,0.000119762,0.000119762,0.000119762
38,807.928,0.10793,0.98581,0.9973,0.05126,0.000111506,0.000111506,0.000111506
39,830.248,0.10223,0.98649,0.99797,0.04697,0.000103249,0.000103249,0.000103249
40,851.944,0.09753,0.98581,0.9973,0.04867,9.49926e-05,9.49926e-05,9.49926e-05
41,881.129,0.0931,0.98446,0.99797,0.04852,8.6736e-05,8.6736e-05,8.6736e-05
42,902.549,0.08802,0.98581,0.99797,0.0467,7.84794e-05,7.84794e-05,7.84794e-05
43,926.246,0.09579,0.98514,0.9973,0.04593,7.02228e-05,7.02228e-05,7.02228e-05
44,953.702,0.0932,0.98581,0.99797,0.04923,6.19662e-05,6.19662e-05,6.19662e-05
45,976.66,0.09101,0.98716,0.99797,0.04418,5.37096e-05,5.37096e-05,5.37096e-05
46,999.66,0.10454,0.98649,0.99932,0.04806,4.5453e-05,4.5453e-05,4.5453e-05
47,1023.67,0.09214,0.98581,0.99865,0.04749,3.71964e-05,3.71964e-05,3.71964e-05
48,1045.25,0.09439,0.98649,0.99797,0.0477,2.89398e-05,2.89398e-05,2.89398e-05
49,1067.16,0.09008,0.98581,0.99797,0.04608,2.06832e-05,2.06832e-05,2.06832e-05
50,1089.93,0.09027,0.98581,0.99797,0.04597,1.24266e-05,1.24266e-05,1.24266e-05
