epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1065,1.13799,4.19611,1.40118,0.02947,0.72086,0.13083,0.09307,1.10816,3.44032,1.28299,0.000136986,0.000136986,0.000136986
2,19.3419,0.99907,3.64122,1.33037,0.45612,0.29077,0.22431,0.16073,1.1095,2.52872,1.32256,0.000270521,0.000270521,0.000270521
3,28.3998,1.06029,3.30226,1.38175,0.30843,0.49017,0.29494,0.20494,1.13095,2.51634,1.42017,0.000398552,0.000398552,0.000398552
4,37.7947,1.00608,2.98512,1.32377,0.27924,0.52662,0.34988,0.22874,1.26233,2.17334,1.42197,0.00039223,0.00039223,0.00039223
5,47.2499,1.0318,2.86114,1.35274,0.45008,0.54501,0.47395,0.32025,1.1205,1.88985,1.30247,0.000383974,0.000383974,0.000383974
6,56.6871,1.03418,2.64386,1.3282,0.3759,0.57956,0.48157,0.3273,1.12431,1.9242,1.30745,0.000375717,0.000375717,0.000375717
7,66.1435,0.98583,2.45438,1.2813,0.32132,0.67622,0.53893,0.34842,1.14469,2.15145,1.31212,0.00036746,0.00036746,0.00036746
8,75.8344,0.98168,2.40551,1.3076,0.43396,0.62795,0.57992,0.36649,1.30543,1.73896,1.43274,0.000359204,0.000359204,0.000359204
9,85.7768,0.97154,2.26288,1.28407,0.40731,0.74039,0.57796,0.37502,1.22496,1.59688,1.34489,0.000350947,0.000350947,0.000350947
10,95.3415,0.91053,2.15143,1.22788,0.41162,0.75965,0.62722,0.38557,1.29438,1.67711,1.36241,0.000342691,0.000342691,0.000342691
11,105.072,0.95653,2.10528,1.26905,0.61123,0.68465,0.70509,0.46787,1.19474,1.46131,1.35928,0.000334434,0.000334434,0.000334434
12,114.89,0.91962,2.02961,1.23804,0.55771,0.75466,0.71322,0.45384,1.31463,1.43775,1.39021,0.000326177,0.000326177,0.000326177
13,124.648,0.93527,1.91465,1.24379,0.63905,0.74875,0.70841,0.4994,1.12585,1.29868,1.28609,0.000317921,0.000317921,0.000317921
14,134.444,0.93102,1.84221,1.2557,0.6379,0.6823,0.70207,0.52823,0.97628,1.36841,1.1976,0.000309664,0.000309664,0.000309664
15,144.542,0.93237,1.86078,1.25104,0.69463,0.74754,0.79184,0.58669,1.03826,1.19389,1.22852,0.000301408,0.000301408,0.000301408
16,154.607,0.91685,1.79317,1.22812,0.76154,0.68318,0.81772,0.62092,0.92548,1.15182,1.15385,0.000293151,0.000293151,0.000293151
17,164.667,0.87594,1.75996,1.20309,0.73146,0.75189,0.78945,0.59357,0.96655,1.1105,1.17425,0.000284894,0.000284894,0.000284894
18,174.492,0.84601,1.7336,1.19046,0.67024,0.79137,0.8119,0.56917,1.09835,1.10267,1.2617,0.000276638,0.000276638,0.000276638
19,184.73,0.83364,1.61914,1.18501,0.74058,0.77712,0.82278,0.5878,1.09235,1.18061,1.23695,0.000268381,0.000268381,0.000268381
20,194.768,0.87394,1.5825,1.22646,0.66168,0.76202,0.8075,0.62168,0.84901,1.02857,1.11511,0.000260125,0.000260125,0.000260125
21,204.67,0.82623,1.49257,1.16296,0.71475,0.83497,0.83472,0.64005,0.90894,1.02763,1.14994,0.000251868,0.000251868,0.000251868
22,214.375,0.78569,1.45738,1.13741,0.80928,0.80362,0.86196,0.64327,0.96802,0.97106,1.16633,0.000243611,0.000243611,0.000243611
23,224.404,0.79721,1.48396,1.13742,0.7706,0.84656,0.85914,0.64837,0.95477,0.95433,1.18147,0.000235355,0.000235355,0.000235355
24,234.292,0.79471,1.44,1.14612,0.82762,0.83578,0.87261,0.64566,0.96162,0.92445,1.172,0.000227098,0.000227098,0.000227098
25,244.153,0.78577,1.37477,1.12862,0.74409,0.82157,0.84447,0.62848,0.9626,0.99182,1.18161,0.000218842,0.000218842,0.000218842
26,254.086,0.78563,1.33625,1.15328,0.84441,0.82591,0.88429,0.6589,0.97958,0.87534,1.18742,0.000210585,0.000210585,0.000210585
27,264.064,0.78796,1.31873,1.15499,0.84133,0.83869,0.89186,0.69736,0.87693,0.82225,1.11653,0.000202328,0.000202328,0.000202328
28,273.99,0.75723,1.23745,1.10948,0.83266,0.82975,0.87874,0.68744,0.88399,0.83489,1.11393,0.000194072,0.000194072,0.000194072
29,283.755,0.73408,1.21735,1.09783,0.83816,0.83488,0.89817,0.70519,0.86136,0.81986,1.09681,0.000185815,0.000185815,0.000185815
30,293.722,0.7538,1.183,1.11538,0.82881,0.83838,0.8939,0.73579,0.73304,0.7741,1.04326,0.000177559,0.000177559,0.000177559
31,303.699,0.75157,1.22047,1.12458,0.82772,0.83527,0.89218,0.70365,0.8585,0.79453,1.10149,0.000169302,0.000169302,0.000169302
32,313.556,0.75701,1.1921,1.12082,0.82257,0.82549,0.89665,0.71724,0.83996,0.80402,1.08088,0.000161045,0.000161045,0.000161045
33,323.411,0.71612,1.15325,1.102,0.86134,0.85836,0.91323,0.71355,0.85296,0.78424,1.11306,0.000152789,0.000152789,0.000152789
34,333.37,0.71854,1.16625,1.10942,0.8356,0.88511,0.91685,0.74294,0.77523,0.73979,1.05683,0.000144532,0.000144532,0.000144532
35,343.567,0.72404,1.13709,1.10047,0.83087,0.86365,0.92237,0.74869,0.74713,0.73154,1.04617,0.000136276,0.000136276,0.000136276
36,354.2,0.73927,1.13279,1.09934,0.84017,0.86199,0.90647,0.73332,0.78409,0.74999,1.04789,0.000128019,0.000128019,0.000128019
